"Country","name","code","tag"
"Nigeria","JAIZ BANK",301,"jaiz"
"Nigeria","Parkway",311,"parkway"
"Nigeria","PAYCOM",305,"paycom"
"Nigeria","SKYE BANK PLC","076","skyebank"
"Nigeria","STANBIC IBTC BANK PLC",221,"stanbic"
"Nigeria","Stanbic Mobile",304,"stanbic-mobile"
"Nigeria","STANDARD CHARTERED BANK NIGERIA LIMITED","068","standard-chartered"
"Nigeria","STERLING BANK PLC",232,"sterling"
"Nigeria","UNION BANK OF NIGERIA PLC","032","unionbank"
"Nigeria","UNITED BANK FOR AFRICA PLC","033","uba"
"Nigeria","UNITY BANK PLC",215,"unity"
"Nigeria","WEMA BANK PLC","035","wema"
"Nigeria","ZENITH BANK PLC","057","zenith"
"Nigeria","ZENITH Mobile",322,"zenith-mobile"
"Nigeria","KEYSTONE BANK PLC","082","keystone"
"Nigeria","HERITAGE BANK","030","heritage"
"Nigeria","ACCESS BANK NIGERIA","044","access"
"Nigeria","ACCESS MOBILE",323,"access-mobile"
"Nigeria","AFRIBANK NIGERIA PLC","014","afribank"
"Nigeria","Aso Savings and Loans",401,"aso-savings"
"Nigeria","DIAMOND BANK PLC","063","diamond"
"Nigeria","Ecobank Mobile",307,"ecobank-mobile"
"Nigeria","ECOBANK NIGERIA PLC","050","ecobank"
"Nigeria","ENTERPRISE BANK LIMITED","084","enterprise"
"Nigeria","GTBANK PLC","058","gtb"
"Nigeria","GTBank Mobile Money",315,"gtb-mobile"
"Nigeria","FIRST CITY MONUMENT BANK PLC",214,"fcmb"
"Nigeria","FIRST BANK PLC","011","firstbank"
"Nigeria","FIDELITY BANK PLC","070","fidelity"
"Nigeria","FBN MOBILE",309,"first-mobile"
"Kenya","Guardian Bank Limited",55,"guardian"
"Kenya","Victoria Commercial Bank Limited",54,"victoriabank"
"Kenya","Fina Bank Limited",53,"finabank"
"Kenya","Jamii Bora Bank",51,"jamii"
"Kenya","Paramount Universal Bank Limited",50,"paramountbank"
"Kenya","Equatorial Commercial Bank Limited",49,"equatorial"
"Kenya","ECO Bank Limited",43,"ecokenya"
"Kenya","Giro Commercial Bank Limited",42,"giro"
"Kenya","NIC Bank Limited",41,"nicbank"
"Kenya","Investments n Mortgages Bank Limited",57,"mortgagebank"
"Kenya","Development Bank of Kenya Limited",59,"developmentbank"
"Kenya","Fidelity Commercial Bank Limited",60,"fidelitybank"
"Kenya","MPesa","MPS","mpesa"
"Kenya","UBA Kenya Bank Ltd",76,"ubakenya"
"Kenya","First Community Bank",74,"fcbkenya"
"Kenya","Gulf African Bank Ltd",72,"gulfbank"
"Kenya","Family Bank Ltd",70,"familybank"
"Kenya","Equity Bank Limited",68,"equity"
"Kenya","K-Rep Bank Limited",66,"krep"
"Kenya","Diamond Trust Bank Limited",63,"diamondkenya"
"Kenya","Housing Finance Bank",61,"housingbank"
"Kenya","Imperial Bank Limited",39,"imperialbank"
"Kenya","African Banking Corp. Bank Ltd",35,"africanbank"
"Kenya","Co-operative Bank of Kenya Limited",11,"cooperativebank"
"Kenya","Prime Bank Limited",10,"primebank"
"Kenya","Central Bank of Kenya","09","centeralbankkenya"
"Kenya","Habib Bank Limited","08","habibkenya"
"Kenya","Commercial Bank of Africa Limited","07","bankafricakenya"
"Kenya","Bank of Baroda (Kenya Limited)","06","barodabank"
"Kenya","Bank of India","05","bankofindia"
"Kenya","Barclays Bank of Kenya Limited","03","barclaysbank"
"Kenya","Standard Chartered Bank Kenya Limited","02","standardbankkenya"
"Kenya","Kenya Commercial Bank Limited","01","kenyabank"
"Kenya","National Bank of Kenya Limited",12,"nationalbankkenya"
"Kenya","Oriental Commercial Bank Limited",14,"orientalbank"
"Kenya","Chase Bank Limited",30,"chase"
"Kenya","CFC Stanbic Bank Kenya Limited",31,"cfcbank"
"Kenya","Trans-National Bank Limited",26,"transnational"
"Kenya","Credit Bank Limited",25,"creditbank"
"Kenya","Consolidated Bank of Kenya Limited",23,"bankofkenya"
"Kenya","Dubai Bank Kenya Limited",20,"dubaibank"
"Kenya","Bank of Africa Kenya Limited",19,"bankafrica"
"Kenya","Middle East Bank Kenya Limited",18,"middleeastbank"
"Kenya","Habib Bank A.G. Zurich",17,"habibbank"
"Kenya","Citibank N.A.",16,"citibank"
"Ghana","ROYAL BANK",300331,"royalbank"
"Ghana","STANBIC BANK",300318,"stanbicghana"
"Ghana","STANDARD CHARTERED BANK",300302,"standardbank"
"Ghana","UNITED BANK FOR AFRICA",300325,"ubaghana"
"Ghana","UNIVERSAL MERCHANT BANK",300309,"universalbank"
"Ghana","ZENITH BANK",300311,"zenithghana"
"Ghana","NATIONAL INVESTMENT BANK",300305,"nationalbank"
"Ghana","HFC BANK",300310,"hfcbank"
"Ghana","GUARANTY TRUST BANK",300322,"gtbghana"
"Ghana","FIRST NATIONAL BANK",300334,"firstnational"
"Ghana","FIRST ALLIED SAVINGS AND LOANS",300351,"firstsavings"
"Ghana","ENERGY BANK",300330,"energybank"
"Ghana","ECOBANK",300312,"ecoghana"
"Ghana","CAPITAL BANK",300356,"capitalbank"
"Ghana","CAL BANK",300313,"calbank"
"Ghana","ACCESS BANK",300329,"accessghana"
"Ghana","GCB BANK LTD",300304,"gcbghana"
